antecedents,consequents,support,confidence,lift
Boneless Skinless Chicken Breast,Organic Baby Spinach,0.00105,0.1510791366906475,2.026547775863816
Boneless Skinless Chicken Breasts,Banana,0.00452,0.2848141146817895,1.9684436704802648
Boneless Skinless Chicken Breasts,Organic Baby Spinach,0.0026,0.1638311279143037,2.197600642713665
Boneless Skinless Chicken Breasts,Organic Avocado,0.00233,0.146817895400126,2.693412133555789
Boneless Skinless Chicken Breasts,Organic Strawberries,0.00204,0.1285444234404537,1.5502221833146852
Boneless Skinless Chicken Breasts,Large Lemon,0.00186,0.1172022684310019,2.481521669087485
Boneless Skinless Chicken Breasts,Cucumber Kirby,0.00183,0.1153119092627599,3.768363047802612
Boneless Skinless Chicken Breasts,Limes,0.00163,0.1027095148078134,2.4264000663315257
Broccoli Crown,Banana,0.00455,0.3370370370370371,2.3293733985557887
Broccoli Crown,Organic Avocado,0.00221,0.1637037037037037,3.003186639216725
Broccoli Crown,Organic Baby Spinach,0.00217,0.1607407407407407,2.156146757085724
Broccoli Crown,Large Lemon,0.00212,0.157037037037037,3.324942558480564
Broccoli Crown,Cucumber Kirby,0.00148,0.1096296296296296,3.5826676349552167
Broccoli Crown,Limes,0.00139,0.1029629629629629,2.432387502078029
Bunched Cilantro,Limes,0.00346,0.2476735862562634,5.8510178657279335
Bunched Cilantro,Banana,0.00336,0.2405153901216893,1.662280669857553
Bunched Cilantro,Organic Avocado,0.00222,0.1589119541875447,2.915280759265176
Bunched Cilantro,Large Lemon,0.00211,0.1510379384395132,3.197923744220056
Bunched Cilantro,Jalapeno Peppers,0.00182,0.1302791696492484,9.707836784593772
Bunched Cilantro,Organic Baby Spinach,0.00172,0.1231209735146743,1.6515221128728943
Cantaloupe,Organic Strawberries,0.00202,0.2496909765142151,3.0112274061048616
Cantaloupe,Banana,0.00194,0.2398022249690976,1.657351751807987
Cantaloupe,Bag of Organic Bananas,0.00193,0.2385661310259579,1.9798019172278671
Cantaloupe,Organic Hass Avocado,0.00114,0.1409147095179233,2.1091858930986884
Cantaloupe,Organic Baby Spinach,0.00108,0.1334981458590853,1.7907195956953088
Carrots,Bag of Organic Bananas,0.00409,0.1808934099955771,1.5011901244446235
Carrots,Organic Baby Spinach,0.00375,0.1658558160106147,2.224759436762102
Carrots,Organic Yellow Onion,0.00315,0.1393188854489164,3.9919451418027614
Carrots,Organic Strawberries,0.00311,0.1375497567448031,1.6588248522045728
Carrots,Organic Hass Avocado,0.0029,0.1282618310482087,1.9197998959468452
Carrots,Organic Zucchini,0.00273,0.1207430340557275,3.78504808952124
Carrots,Organic Garlic,0.00261,0.1154356479433878,3.4769773476924057
Carrots,Limes,0.00252,0.1114551083591331,2.63300515849594
Carrots,Organic Small Bunch Celery,0.00247,0.1092436974789915,5.062265870203503
Celery Hearts,Bag of Organic Bananas,0.00103,0.2587939698492462,2.147667799578807
Cherubs Heavenly Salad Tomatoes,Banana,0.00178,0.2489510489510489,1.7205822721062196
Chicken & Maple Breakfast Sausage,Organic Strawberries,0.00127,0.2224168126094571,2.68230598901902
Chicken & Maple Breakfast Sausage,Bag of Organic Bananas,0.00118,0.2066549912434326,1.714979180443424
Clementines,Bag of Organic Bananas,0.00208,0.2198731501057082,1.8246734448606492
Clementines,Hass Avocados,0.00118,0.1247357293868921,7.742751668956685
Clementines,Apples,0.00115,0.1215644820295983,29.50594224019376
Clementines,Strawberries,0.00114,0.120507399577167,2.706814905147508
Clementines,Raspberries,0.00108,0.1141649048625792,6.497717977380722
Crackers Cheddar Bunnies Snack Packs,Banana,0.00116,0.3068783068783068,2.120936532436981
Cucumber Kirby,Banana,0.01008,0.3294117647058824,2.2766726429323545
Cucumber Kirby,Organic Baby Spinach,0.00511,0.1669934640522876,2.240019638528338
Cucumber Kirby,Organic Avocado,0.00477,0.1558823529411764,2.8597019435181887
Cucumber Kirby,Large Lemon,0.00436,0.1424836601307189,3.016804152672432
Cucumber Kirby,Organic Strawberries,0.00384,0.1254901960784313,1.5133887611967125
Cucumber Kirby,Limes,0.0034,0.1111111111111111,2.6248785993647794
European Cucumber,Banana,0.00135,0.2432432432432432,1.6811337566054547
Extra Virgin Olive Oil,Organic Baby Spinach,0.00205,0.1346911957950066,1.8067229482898268
Extra Virgin Olive Oil,Large Lemon,0.00172,0.1130091984231274,2.392741867946802
Extra Virgin Olive Oil,Organic Hass Avocado,0.00164,0.1077529566360052,1.612826771980321
Ezekiel 4:9 Bread Organic Sprouted Whole Grain,Bag of Organic Bananas,0.00113,0.1965217391304347,1.6308858019123218
Ezekiel 4:9 Bread Organic Sprouted Whole Grain,Organic Hass Avocado,0.00101,0.1756521739130435,2.629129979240286
Ezekiel 4:9 Bread Organic Sprouted Whole Grain,Organic Baby Spinach,0.001,0.1739130434782608,2.3328376053421978
Fat Free Milk,Banana,0.00198,0.2183020948180815,1.5087573074717089
Feta Cheese Crumbles,Banana,0.00267,0.2651439920556107,1.8324970077794644
Feta Cheese Crumbles,Organic Baby Spinach,0.00215,0.2135054617676266,2.8639230284054538
Feta Cheese Crumbles,Organic Strawberries,0.00154,0.1529294935451837,1.8443016587697023
Feta Cheese Crumbles,Organic Avocado,0.00139,0.138033763654419,2.532264972563182
Feta Cheese Crumbles,Organic Hass Avocado,0.00134,0.1330685203574975,1.9917455524247492
Feta Cheese Crumbles,Large Lemon,0.00128,0.1271102284011916,2.6913027398092666
Feta Cheese Crumbles,Cucumber Kirby,0.00124,0.1231380337636544,4.024118750446223
Feta Cheese Crumbles,Limes,0.00123,0.12214498510427,2.8855418167793547
Feta Cheese Crumbles,Organic Grape Tomatoes,0.0012,0.1191658391261171,4.560499009801651
Feta Cheese Crumbles,Organic Garlic,0.00101,0.1002979145978152,3.021021524030581
Fresh CA Grown Eggs,Banana,0.00104,0.303206997084548,2.0955629074887554
Fresh Cauliflower,Bag of Organic Bananas,0.00415,0.1896709323583181,1.5740326336789885
Fresh Cauliflower,Organic Baby Spinach,0.00398,0.1819012797074954,2.439990338128711
Fresh Cauliflower,Organic Hass Avocado,0.00347,0.1585923217550274,2.3737811967523936
Fresh Cauliflower,Organic Strawberries,0.00343,0.1567641681901279,1.8905471320565364
Fresh Cauliflower,Organic Garlic,0.00255,0.11654478976234,3.510385233805423
Fresh Cauliflower,Organic Zucchini,0.00252,0.1151736745886654,3.610460018453463
Fresh Cauliflower,Organic Avocado,0.0025,0.1142595978062157,2.096121772265928
Fresh Cauliflower,Organic Yellow Onion,0.00249,0.1138025594149908,3.260818321346443
Fresh Cauliflower,Large Lemon,0.00229,0.1046617915904936,2.2160023627036542
Fresh Ginger Root,Limes,0.00127,0.1732605729877217,4.093091731342351
Fresh Ginger Root,Large Lemon,0.00104,0.1418826739427012,3.0040794821660217
Frozen Broccoli Florets,Banana,0.0014,0.2916666666666667,2.0158039025963554
Frozen Organic Wild Blueberries,Bag of Organic Bananas,0.00265,0.2780692549842602,2.307628672068549
Frozen Organic Wild Blueberries,Organic Baby Spinach,0.0023,0.2413431269674711,3.237332353688412
Frozen Organic Wild Blueberries,Organic Whole Strawberries,0.00219,0.229800629590766,23.88779933375946
Frozen Organic Wild Blueberries,Organic Raspberries,0.0018,0.1888772298006295,4.381285775936664
Frozen Organic Wild Blueberries,Organic Hass Avocado,0.00172,0.1804826862539349,2.7014322145477467
Frozen Organic Wild Blueberries,Organic Strawberries,0.00148,0.155299055613851,1.87287814295527
Frozen Organic Wild Blueberries,Organic Avocado,0.001,0.1049317943336831,1.925000813312844
Gala Apples,Banana,0.00277,0.3630406290956749,2.509092743767192
Garlic,Banana,0.00261,0.2332439678284182,1.6120254877905744
Garlic,Large Lemon,0.00155,0.1385165326184093,2.9328082282110794
Garlic,Limes,0.00153,0.1367292225201072,3.230078490907329
Garlic,Organic Avocado,0.00115,0.1027703306523681,1.885348204959974
Garlic,Yellow Onions,0.00113,0.1009830205540661,4.398215180926225
Globe Eggplant,Organic Zucchini,0.00125,0.2345215759849906,7.351773541849236
Gluten Free Whole Grain Bread,Banana,0.00104,0.2295805739514348,1.5867065723369609
Goat Cheese Crumbles,Banana,0.00106,0.2476635514018691,1.7116839546746088
Grade A Large White Eggs,Banana,0.00115,0.2971576227390181,2.0537536992122334
Granny Smith Apples,Banana,0.00388,0.3330472103004291,2.3017983986483457
Granny Smith Apples,Large Lemon,0.00133,0.1141630901287553,2.417173197729311
Granny Smith Apples,Strawberries,0.00122,0.1047210300429184,2.3522243944950234
Grape White/Green Seedless,Banana,0.00328,0.2679738562091503,1.8520551261949705
Grape White/Green Seedless,Bag of Organic Bananas,0.00225,0.1838235294117647,1.5255064681474249
Grape White/Green Seedless,Organic Strawberries,0.00215,0.1756535947712418,2.118350154018836
Grape White/Green Seedless,Organic Baby Spinach,0.00173,0.1413398692810457,1.8959070326096008
Grape White/Green Seedless,Organic Avocado,0.00143,0.1168300653594771,2.1432776620707603
Grape White/Green Seedless,Large Lemon,0.00131,0.1070261437908496,2.266062752294086
Grape White/Green Seedless,Organic Hass Avocado,0.00131,0.1070261437908496,1.6019479687299758
Grape White/Green Seedless,Strawberries,0.00126,0.1029411764705882,2.3122456529781727
Grated Parmesan,Organic Strawberries,0.00229,0.1721804511278195,2.076464678338393
Grated Parmesan,Organic Baby Spinach,0.00214,0.1609022556390977,2.158313288250808
Grated Parmesan,Large Lemon,0.00169,0.1270676691729323,2.690401633981206
Grated Parmesan,Organic Hass Avocado,0.00165,0.1240601503759398,1.856909899355484
Grated Parmesan,Organic Avocado,0.00156,0.1172932330827067,2.151774593335292
Grated Parmesan,Organic Garlic,0.00145,0.1090225563909774,3.283811939487272
Grated Parmesan,Organic Yellow Onion,0.00139,0.1045112781954887,2.994592498438072
Grated Parmesan,Limes,0.00133,0.1,2.3623907394283017
Green Beans,Banana,0.00271,0.3038116591928251,2.0997419254462995
Green Beans,Large Lemon,0.00142,0.1591928251121076,3.370587023334906
Green Beans,Organic Avocado,0.00135,0.1513452914798206,2.7764683815780704
Green Beans,Organic Baby Spinach,0.00127,0.1423766816143497,1.9098146427142824
Green Beans,Limes,0.001,0.1121076233183856,2.6484201114667054
Green Bell Pepper,Bag of Organic Bananas,0.00306,0.182034503271862,1.5106597781897262
Green Bell Pepper,Organic Hass Avocado,0.00266,0.1582391433670434,2.3684948864996778
Green Bell Pepper,Organic Strawberries,0.00264,0.1570493753718025,1.8939866783864272
Green Bell Pepper,Organic Yellow Onion,0.00257,0.1528851873884592,4.380664395084792
Green Bell Pepper,Organic Baby Spinach,0.00246,0.1463414634146341,1.9629974971781912
Green Bell Pepper,Organic Red Bell Pepper,0.00219,0.1302795954788816,7.185857445056902
Green Bell Pepper,Red Peppers,0.00206,0.1225461035098156,6.907897604837408
Green Bell Pepper,Organic Garlic,0.00196,0.1165972635336109,3.511965769084667
Green Bell Pepper,Limes,0.00179,0.106484235574063,2.5155737201526827
Green Onions,Banana,0.00185,0.2399481193255512,1.6583600755100645
Green Onions,Bunched Cilantro,0.00116,0.1504539559014267,10.769789255649728
Green Onions,Large Lemon,0.00102,0.1322957198443579,2.801095063399491
Ground Turkey Breast,Banana,0.00212,0.2482435597189695,1.7156925822031204
Ground Turkey Breast,Organic Baby Spinach,0.00184,0.2154566744730679,2.890096237063285
Ground Turkey Breast,Bag of Organic Bananas,0.00158,0.1850117096018735,1.5353668846628508
Ground Turkey Breast,Organic Strawberries,0.00152,0.1779859484777517,2.146477912177421
Ground Turkey Breast,Organic Avocado,0.00131,0.1533957845433255,2.8140852053444414
Ground Turkey Breast,Organic Hass Avocado,0.00122,0.1428571428571428,2.1382598841063145
Ground Turkey Breast,Organic Yellow Onion,0.00103,0.1206088992974238,3.45584238674567
Half & Half,Banana,0.00473,0.2207186187587494,1.5254586962385055
Half & Half,Organic Strawberries,0.0028,0.1306579561362575,1.5757110001960637
Hass Avocado,Banana,0.00123,0.2188612099644128,1.5126215354510524
Hass Avocados,Bag of Organic Bananas,0.0036,0.223463687150838,1.8544704327870372
Hass Avocados,Organic Baby Spinach,0.00203,0.1260086902545003,1.6902574145472875
Hass Avocados,Raspberries,0.00172,0.1067659838609559,6.076606935740236
Hass Avocados,Strawberries,0.00168,0.1042830540037244,2.342386657765598
Honey Nut Cheerios,Banana,0.00216,0.2720403022670025,1.8801596673370828
Honeycrisp Apple,Banana,0.00901,0.3552839116719243,2.455483528038733
Honeycrisp Apple,Organic Strawberries,0.00362,0.1427444794952681,1.7214722563346376
Honeycrisp Apple,Organic Avocado,0.00348,0.1372239747634069,2.5174091866337727
Honeycrisp Apple,Large Lemon,0.00304,0.1198738170347003,2.538086322987515
Honeycrisp Apple,Organic Baby Spinach,0.00285,0.1123817034700315,1.5074675180420058
Honeycrisp Apple,Organic Hass Avocado,0.0028,0.1104100946372239,1.652598333142104
Icelandic Style Skyr Blueberry Non-fat Yogurt,Banana,0.00179,0.276661514683153,1.9120983805594924
Italian Sparkling Mineral Water,Organic Strawberries,0.00134,0.1398747390396659,1.6868637124899415
Italian Sparkling Mineral Water,Organic Baby Spinach,0.0012,0.1252609603340292,1.6802275028038796
Italian Sparkling Mineral Water,Organic Hass Avocado,0.00117,0.1221294363256785,1.828011320546004
Italian Sparkling Mineral Water,Organic Avocado,0.001,0.104384133611691,1.9149538362078704
Jalapeno Peppers,Limes,0.00352,0.2622950819672131,6.196434726369316
Jalapeno Peppers,Organic Avocado,0.00223,0.1661698956780924,3.0484295666500167
Jalapeno Peppers,Organic Cilantro,0.00222,0.165424739195231,7.543307760840447
Jalapeno Peppers,Organic Baby Spinach,0.002,0.1490312965722801,1.9990784248461455
Jalapeno Peppers,Large Lemon,0.00199,0.1482861400894188,3.1396599637818925
Jalapeno Peppers,Bunched Cilantro,0.00182,0.1356184798807749,9.70783678459377
Jalapeno Peppers,Organic Hass Avocado,0.00176,0.1311475409836065,1.962992680491043
Jalapeno Peppers,Organic Garlic,0.00164,0.1222056631892697,3.6808934695563176
Jalapeno Peppers,Organic Red Onion,0.00141,0.1050670640834575,5.107781433323166
Jalapeno Peppers,Yellow Onions,0.00138,0.1028315946348733,4.47872798932375
Jalapeno Peppers,Organic Yellow Onion,0.00135,0.1005961251862891,2.8824104637905195
Large Alfresco Eggs,Bag of Organic Bananas,0.0029,0.231629392971246,1.922235626317394
Large Alfresco Eggs,Organic Baby Spinach,0.00185,0.1477635782747604,1.9820734845708967
Large Alfresco Eggs,Organic Hass Avocado,0.00182,0.145367412140575,2.1758331408557865
Large Alfresco Eggs,Organic Strawberries,0.00157,0.1253993610223642,1.512293307071445
Large Alfresco Eggs,Organic Avocado,0.00142,0.1134185303514377,2.080692173022156
Large Brown Eggs,Banana,0.001,0.2666666666666666,1.843020710945239
Large Grapefruit,Banana,0.00166,0.2338028169014084,1.615887876849875
Large Grapefruit,Organic Avocado,0.00106,0.1492957746478873,2.7388694670315044
Large Lemon,Banana,0.01229,0.2602159644293881,1.7984377941073195
Large Lemon,Limes,0.00854,0.180817277154351,4.271610610780796
Large Lemon,Organic Avocado,0.00779,0.1649375396993436,3.025821678579043
Large Lemon,Organic Baby Spinach,0.00742,0.1571035358882066,2.1073579596003573
Large Lemon,Organic Hass Avocado,0.00507,0.10734702519585,1.606750863581052
Large Yellow Flesh Nectarine,Banana,0.00174,0.3314285714285714,2.29061145503194
Large Yellow Flesh Nectarine,Organic Strawberries,0.0014,0.2666666666666666,3.215951117543013
Lemon Hummus,Banana,0.00122,0.2368932038834951,1.637246553897955
Lightly Salted Baked Snap Pea Crisps,Banana,0.00182,0.2324393358876117,1.6064644127970955
Lightly Salted Baked Snap Pea Crisps,Organic Strawberries,0.00116,0.1481481481481481,1.7866395097461183
Lime Sparkling Water,Sparkling Water Grapefruit,0.00426,0.284,11.872909698996656
Lime Sparkling Water,Sparkling Lemon Water,0.0028,0.1866666666666666,18.052869116698904
Limes,Banana,0.00972,0.2296243798724309,1.587009329410677
Limes,Large Lemon,0.00854,0.2017481691471769,4.271610610780796
Limes,Organic Avocado,0.00647,0.1528466808410111,2.804011756393526
Limes,Organic Baby Spinach,0.00631,0.1490668556579258,1.999555407886329
Limes,Organic Hass Avocado,0.00622,0.1469407039924403,2.1993818888256302
Limes,Organic Strawberries,0.00598,0.1412709662178124,1.703701956317082
Limes,Organic Cilantro,0.00542,0.1280415780770139,5.838649251117826
Limes,Organic Garlic,0.00483,0.1141034727143869,3.43685158778274
Macaroni & Cheese,Banana,0.00124,0.2304832713754646,1.5929454100177252
Mango Chunks,Banana,0.00191,0.3523985239852398,2.435541668292486
Mango Chunks,Organic Baby Spinach,0.00136,0.2509225092250922,3.365828426895938
Marinara Sauce,Organic Strawberries,0.00106,0.1693290734824281,2.042077586618767
Medium Navel Orange,Banana,0.001,0.334448160535117,2.311480824764096
Michigan Organic Kale,Organic Baby Spinach,0.00424,0.2032598274209012,2.726489972111351
Michigan Organic Kale,Bag of Organic Bananas,0.00381,0.1826462128475551,1.5157362062037771
Michigan Organic Kale,Organic Strawberries,0.00333,0.1596356663470757,1.925176873457257
Michigan Organic Kale,Organic Hass Avocado,0.00313,0.1500479386385426,2.245890415185491
Michigan Organic Kale,Organic Avocado,0.00281,0.1347075743048897,2.471245171617864
Michigan Organic Kale,Large Lemon,0.00274,0.1313518696069031,2.781110938109319
Michigan Organic Kale,Limes,0.00234,0.112176414189837,2.650045220643445
Michigan Organic Kale,Organic Garlic,0.00218,0.1045062320230105,3.1477780729822458
Mild Cheddar Cheese Sticks,Banana,0.00101,0.3042168674698795,2.102542452622016
Mini Original Babybel Cheese,Banana,0.0012,0.2439024390243902,1.6856896746450356
Mini Original Babybel Cheese,Bag of Organic Bananas,0.001,0.2032520325203252,1.6867388590898358
No Salt Added Black Beans,Banana,0.00271,0.3132947976878613,2.165283002887976
No Salt Added Black Beans,Organic Baby Spinach,0.00189,0.2184971098265896,2.930880078156802
No Salt Added Black Beans,Organic Avocado,0.00167,0.1930635838150289,3.5418012073936693
No Salt Added Black Beans,Limes,0.0016,0.1849710982658959,4.36974009605235
No Salt Added Black Beans,Large Lemon,0.00107,0.1236994219653179,2.6190857921939004
Non Fat Raspberry Yogurt,Banana,0.00139,0.2536496350364963,1.7530557401098648
Orange Bell Pepper,Banana,0.00312,0.2534524776604386,1.7516931208821525
Orange Bell Pepper,Yellow Bell Pepper,0.00222,0.1803411860276198,22.885937313149725
Orange Bell Pepper,Organic Baby Spinach,0.0016,0.1299756295694557,1.7434692095165087
Orange Bell Pepper,Large Lemon,0.00159,0.1291632818846466,2.7347720068737376
Orange Bell Pepper,Red Peppers,0.00151,0.1226645004061738,6.914571612523893
Orange Bell Pepper,Organic Avocado,0.00151,0.1226645004061738,2.2503118768331287
Orange Bell Pepper,Limes,0.00141,0.1145410235580828,2.7059065333825387
Orange Bell Pepper,Cucumber Kirby,0.00138,0.1121039805036555,3.663528774629267
Orange Bell Pepper,Organic Hass Avocado,0.00132,0.1072298943948009,1.6049976709295164
Orange Juice,Banana,0.00141,0.2635514018691589,1.8214900951631685
Orange Sparkling Water,Banana,0.0011,0.264423076923077,1.8275145270791135
Organic American Cheese Singles,Bag of Organic Bananas,0.00125,0.2256317689530686,1.872462812888536
Organic American Cheese Singles,Organic Strawberries,0.00105,0.1895306859205776,2.285705329481158
Organic AppleApple,Organic Strawberries,0.00129,0.2544378698224852,3.068474069253319
Organic AppleApple,Bag of Organic Bananas,0.00118,0.232741617357002,1.9314657042074852
Organic AppleApple,Banana,0.00113,0.2228796844181459,1.540394529118432
Organic Avocado,Banana,0.01544,0.2832507796734544,1.9576389499858624
Organic Avocado,Organic Baby Spinach,0.00943,0.1729957805907172,2.3205336095334306
Organic Avocado,Large Lemon,0.00779,0.1429095578792882,3.025821678579043
Organic Avocado,Organic Strawberries,0.00758,0.1390570537516052,1.6770025778051765
Organic Avocado,Limes,0.00647,0.1186938176481379,2.804011756393526
Organic Baby Arugula,Banana,0.00496,0.220935412026726,1.5269570255492848
Organic Baby Arugula,Organic Baby Spinach,0.00409,0.1821826280623608,2.44376429325769
Organic Baby Arugula,Organic Hass Avocado,0.00368,0.1639198218262806,2.4535222545469337
Organic Baby Arugula,Organic Avocado,0.00308,0.1371937639198218,2.516854960921332
Organic Baby Arugula,Organic Strawberries,0.00306,0.1363028953229398,1.643787932018088
Organic Baby Arugula,Large Lemon,0.00248,0.110467706013363,2.3389308916655307
Organic Baby Arugula,Limes,0.00241,0.1073496659242761,2.5360185666023187
Organic Baby Broccoli,Bag of Organic Bananas,0.00224,0.2248995983935742,1.8663867086603676
Organic Baby Broccoli,Organic Baby Spinach,0.00181,0.181726907630522,2.437651343132422
Organic Baby Broccoli,Organic Hass Avocado,0.0017,0.1706827309236947,2.554748255106942
Organic Baby Broccoli,Organic Strawberries,0.00147,0.1475903614457831,1.7799127043630385
Organic Baby Broccoli,Organic Yellow Onion,0.00112,0.1124497991967871,3.2220572835755625
Organic Baby Broccoli,Organic Lemon,0.00109,0.109437751004016,3.9422820966864576
Organic Baby Broccoli,Organic Zucchini,0.00107,0.107429718875502,3.367702786065894
Organic Baby Broccoli,Organic Garlic,0.00106,0.1064257028112449,3.2055934581700294
Organic Baby Carrots,Bag of Organic Bananas,0.00495,0.2119914346895075,1.759265018170187
Organic Baby Carrots,Organic Strawberries,0.0043,0.1841541755888651,2.2208656004445864
Organic Baby Carrots,Organic Baby Spinach,0.00412,0.1764453961456103,2.366806118653391
Organic Baby Carrots,Organic Hass Avocado,0.00299,0.128051391862955,1.9166500802717408
Organic Baby Kale,Organic Baby Spinach,0.00137,0.2306397306397306,3.093758962303563
Organic Baby Spinach,Bag of Organic Bananas,0.01546,0.2073775989268947,1.7209759247045204
Organic Baby Spinach,Organic Strawberries,0.01169,0.1568075117370892,1.8910698472876173
Organic Baby Spinach,Organic Hass Avocado,0.01093,0.1466130114017438,2.194477045378593
Organic Baby Spinach,Organic Avocado,0.00943,0.1264922870556673,2.3205336095334306
Organic Baby Spinach Salad,Bag of Organic Bananas,0.00112,0.1951219512195121,1.619269304726242
Organic Baby Spinach Salad,Organic Strawberries,0.00109,0.1898954703832752,2.2901045632329384
Organic Bartlett Pear,Bag of Organic Bananas,0.00353,0.2867587327376117,2.3797405206440807
Organic Bartlett Pear,Organic Strawberries,0.00318,0.2583265637692932,3.1153710054183943
Organic Bartlett Pear,Organic Hass Avocado,0.0024,0.1949634443541835,2.9181775835082115
Organic Bartlett Pear,Organic Baby Spinach,0.00198,0.1608448415922014,2.15754314677668
Organic Bartlett Pear,Organic Raspberries,0.00139,0.1129163281884646,2.619260686348055
Organic Bartlett Pear,Organic Whole Milk,0.00135,0.1096669374492282,2.56051686783162
Organic Bartlett Pear,Organic Large Extra Fancy Fuji Apple,0.00127,0.1031681559707554,4.427817852822123
Organic Basil,Organic Hass Avocado,0.00138,0.1738035264483627,2.601459758245214
Organic Basil,Organic Baby Spinach,0.00138,0.1738035264483627,2.33136856402901
Organic Basil,Organic Strawberries,0.00115,0.1448362720403022,1.7466988909829029
Organic Basil,Organic Garlic,0.00114,0.1435768261964735,4.324603198688962
Organic Basil,Limes,0.00107,0.1347607052896725,3.183574422151489
